Tempo;SOBRADINHO;ITAPARICA;MOXOTO;P. AFONSO 4;EMBORCAÇÃO;CORUMBA;ITUMBIARA;C. DOURADA;SÃO SIMÃO;BOA ESPERANÇA;TUCURUI;SERRA DA MESA;LAJEADO;ESTREITO;MARIMBONDO;AGUA VERMELHA;PORTO COLOMBIA;VOLTA GRANDE;FURNAS;SANTO ANTONIO;JIRAU;SAMUEL;BALBINA;JUPIÁ;PORTO PRIMAVERA;ILHA SOLTEIRA;ITAIPU;BARRA GRANDE;ITÁ;CAMPOS NOVOS;MACHADINHO;FOZ CHAPECO;G. B. MUNHOZ (FOZ DO AREIA);SALTO CAXIAS;SALTO OSORIO;SALTO SANTIAGO;SEGREDO
01/01/2019;1166;771;629;705;418;265;1135;1394;2144;310;9079;400;1267;2438;1405;1748;986;890;683;30829;29512;976;597;5650;6538;4383;10392;198;1200;269;819;1573;406;1409;1183;1020;924
01/02/2019;855;742;652;649;452;253;1014;1401;2537;415;11314;493;1282;2972;1399;1788;963;994;736;39887;37060;1261;570;4879;6020;4397;9201;134;757;224;475;1110;476;1151;904;780;642
01/03/2019;1291;710;639;638;511;327;837;713;1866;519;18559;847;2237;4745;1903;1294;1103;843;1187;43330;40141;1206;421;4667;6047;3770;10218;117;900;325;546;1306;679;1186;839;863;713
01/04/2019;1475;637;732;728;331;358;974;579;1719;621;22774;925;1899;5325;1569;1573;990;810;721;37159;34945;845;824;4813;5799;3849;8652;118;630;175;359;883;595;1123;864;840;765
01/05/2019;873;817;753;752;274;297;749;445;1126;335;11896;381;916;2258;1175;1344;768;666;485;29805;28588;411;1653;4198;5128;2684;8450;594;1277;450;808;1889;703;1224;642;823;685
01/06/2019;685;832;738;735;204;199;549;461;932;247;5162;213;639;1447;870;1047;583;501;322;21947;21191;185;894;3978;4694;2508;8765;238;1264;499;906;1581;1597;1821;1271;1879;1447
01/07/2019;643;792;738;736;169;150;522;768;1148;221;2829;134;478;1047;746;1248;528;482;259;11620;11135;79;598;4151;4818;3535;7373;412;1116;187;885;1416;383;1120;964;873;760
01/08/2019;562;732;747;742;153;161;812;1433;1762;177;1801;90;436;856;847;1514;694;693;208;6291;6189;47;395;4521;5056;3589;7453;76;587;62;490;804;170;1042;945;850;800
01/09/2019;485;829;739;708;198;144;1264;1709;1930;171;1624;41;601;1015;1257;1700;1071;1147;209;3725;3600;35;348;5532;6227;4222;8534;88;446;57;351;581;308;885;825;627;536
01/10/2019;446;876;853;795;264;183;1338;1810;2045;192;2035;90;836;1288;1388;1737;1224;1312;250;5407;5327;112;475;5378;6006;4497;8019;221;504;169;452;641;296;790;716;490;464
01/11/2019;480;983;963;915;234;163;1258;1380;1725;183;2960;181;1001;1730;1317;1385;1051;1075;510;8251;8007;236;508;4564;5155;3528;7415;378;1246;399;984;1489;326;969;790;594;533
01/12/2019;1187;845;770;725;350;237;1353;1252;2170;210;3968;263;1040;1872;1452;1696;1062;974;695;18611;18760;457;859;5466;6558;4294;10057;78;691;110;473;903;376;729;554;449;361
01/01/2020;1261;917;913;864;451;389;1219;1095;2099;373;7112;781;1628;2957;1710;1700;1146;1043;903;30415;28672;687;554;5603;6645;4076;9875;90;386;97;306;454;240;618;494;507;445
01/02/2020;3039;967;880;843;719;605;1593;1132;2633;463;14987;1374;2269;4719;1930;1819;1197;1013;2279;35005;32556;944;277;5480;6697;4237;9468;54;330;78;220;396;214;481;350;314;267
01/03/2020;3855;816;854;836;712;680;1429;766;2370;968;26792;1781;4020;7795;1845;1702;1160;975;1311;33542;30795;1050;418;5219;5977;4264;8294;16;221;51;155;297;178;325;255;202;165
01/04/2020;3391;1229;1222;1215;366;689;1159;472;1582;752;26249;1176;4035;7271;995;1410;662;499;651;31018;29097;788;1061;5084;5775;3315;7341;11;118;26;48;223;75;252;209;167;146
01/05/2020;1803;1336;1083;1079;279;372;750;622;1479;375;15693;546;1334;3066;749;1441;505;424;427;20323;19591;475;1722;4418;5126;3778;6900;19;109;12;59;169;83;246;108;123;105
01/06/2020;947;1479;1132;1125;245;297;868;1088;1651;291;6908;329;828;1830;980;1384;762;739;362;12693;12304;199;1174;4391;5045;3534;7006;114;497;196;339;925;466;434;69;355;238
01/07/2020;781;1540;1402;1406;283;200;1033;1556;2036;216;3248;214;627;1278;1275;1375;1108;1157;273;9731;9505;92;660;4342;5008;3780;6972;764;1299;279;929;1677;312;715;489;574;550
01/08/2020;773;1174;1265;1264;272;151;1128;1742;2139;181;2089;142;559;1036;1075;1341;940;995;241;5622;5550;48;292;4756;5408;3762;8166;283;1245;352;952;1532;578;896;646;839;679
01/09/2020;741;1468;1606;1586;296;197;1485;1953;2407;154;1743;82;886;1269;1172;1483;1069;1137;243;4837;4778;29;372;5547;6044;4724;7781;212;930;190;778;1189;235;1136;997;961;925
01/10/2020;858;1361;1788;1726;310;149;1493;1863;2417;160;2184;152;1111;1516;1192;1531;1086;1196;233;3261;3208;45;493;5494;6134;4800;8492;84;554;91;449;732;158;800;718;606;536
